dataset_layer,destination,iso3,year,origin_name,origin_region,granularity,metric,value,unit,metric_type,coverage_scope,source_name,source_reference,source_file,quality_flag,notes
arrivals,Afrique du Sud,ZAF,1995,,,destination_total,tourist_arrivals,4684000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,1996,,,destination_total,tourist_arrivals,5186000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,1997,,,destination_total,tourist_arrivals,5170000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,1998,,,destination_total,tourist_arrivals,5898000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,1999,,,destination_total,tourist_arrivals,6026000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,2000,,,destination_total,tourist_arrivals,6001000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,2001,,,destination_total,tourist_arrivals,5908000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,2002,,,destination_total,tourist_arrivals,6550000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,2003,,,destination_total,tourist_arrivals,6640000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,2004,,,destination_total,tourist_arrivals,6815000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
arrivals,Afrique du Sud,ZAF,2005,,,destination_total,tourist_arrivals,7518000.0,persons,destination_total,Common WDI destination-level series,World Bank WDI,WB_WDI_ST_INT_ARVL,audit_harmonisation_arrivees_7_pays_trends.xlsx,available,No interpolation; missing stays blank.
